"AY","semester","emplid_ID","GPA","CREDITS","DEGREE","StartDate","EndDate","duration","LocationLatitude","LocationLongitude","Q103","Q1","Q2","Q2_3_TEXT","Q3","Q4","Q4_6_TEXT","Q5","Q6","Q6_1_TEXT","Q6_2_TEXT","Q7","Q8","Q9","Q10","Q10_1_TEXT","Q10_2_TEXT","Q10_3_TEXT","Q10_4_TEXT","Q10_5_TEXT","Q10_6_TEXT","Q10_8_TEXT","Q11","Q12","Q13","Q14","Q14_6_TEXT","Q15","Q16","BSMS11_PR","BSMS12_PR","Q95","Q102"
"2024","Spring","23872268",3.576,123,"BA/MA","2024-03-15","2024-03-15","4298","40.7162","-73.9229","11207","2001","Male",NA,"Male","Heterosexual (as in ""straight"")",NA,"Full-time (12 credits or more)","Declared (Please specify major):","Psychology ",NA,"4.0","2nd year undergraduate","No","Black or African American (E.g., African American, Jamaican, Haitian, Nigerian, Ethiopian, Somalian, etc.:",NA,"Black",NA,NA,NA,NA,NA,"No","Yes","No","Single",NA,"Less than $60,000","$200 or less",NA,"$100,000 to $150,000","The ability to exist and hold valuable assets and positions in a social hierarchy.","The ability to move and how well you move in social class."
"2024","Spring","24212435",3.75,120,"BA","2024-03-15","2024-03-15","10043","40.8123","-73.9682","11214","2001","Female",NA,"Female","Bisexual",NA,"Full-time (12 credits or more)","Declared (Please specify major):","Biology ",NA,"3.8","3rd year undergraduate","No","White or Caucasian (E.g., German, Irish, English, Italian, Polish, French, etc.)","Ukrainian ",NA,NA,NA,NA,NA,NA,"Yes","Yes","No","Single",NA,"Less than $60,000","$401-$600",NA,"$60,000 to $99,999","Defined by the way people perceive you based on the qualities you have","The ability to change your social status "
"2024","Spring","23844633",3.828,130,"BA","2024-03-15","2024-03-15","1603","40.7099","-73.9591","10033","2001","Female",NA,"Female","Heterosexual (as in ""straight"")",NA,"Part-time (Fewer than 12 credits)","Declared (Please specify major):","Psychology",NA,"3.8","4th year undergraduate","Yes","Hispanic, Latino or Spanish Origin (E.g., Mexican or Mexican American. Puerto Rican, Cuban, Salvadorian, Dominican, etc.)",NA,NA,"Dominican",NA,NA,NA,NA,"Yes","No","No","Single",NA,"Less than $60,000","Other ( Please specify):","Unemployment ","$60,000 to $99,999","Social status, for me, refers to your economic status along with the level of recognition you have within your field of work ","Social mobility refers to a person's ability to move up within society/climb the social laterresulting in experiencing an improvement in their social status "
"2024","Spring","24010924",3.648,120,"BA","2024-03-15","2024-03-15","688","40.8123","-73.9682","11368","2003","Female",NA,"Female","Uncertain/Questioning",NA,"Full-time (12 credits or more)","Declared (Please specify major):","psychology",NA,"3.66","3rd year undergraduate","Yes","Hispanic, Latino or Spanish Origin (E.g., Mexican or Mexican American. Puerto Rican, Cuban, Salvadorian, Dominican, etc.)",NA,NA,"Ecuadorian ",NA,NA,NA,NA,"Yes","No","No","Single",NA,"Less than $60,000","Other ( Please specify):","i don’t work ","$60,000 to $99,999","social mobidlity- socioeconomic status ","ability to move up and down the socioeconomic ladder"
"2024","Spring","23407957",2.639,122,"BA","2024-03-15","2024-03-15","1050","40.8123","-73.9682","11102","1997","Male",NA,"Male","Heterosexual (as in ""straight"")",NA,"Full-time (12 credits or more)","Declared (Please specify major):","business management",NA,"2.5","4th year undergraduate","Yes","Hispanic, Latino or Spanish Origin (E.g., Mexican or Mexican American. Puerto Rican, Cuban, Salvadorian, Dominican, etc.)",NA,NA,"Mexican",NA,NA,NA,NA,"Yes","No","No","Single",NA,"Less than $60,000","$200 or less",NA,"$60,000 to $99,999","amount of income","ability to change the social status of a person "
"2024","Spring","24161789",3.741,127,"BA/MA","2024-03-16","2024-03-16","1470","40.8312","-73.9067","10463","2003","Female",NA,"Female","Bisexual",NA,"Full-time (12 credits or more)","Declared (Please specify major):","Psychology ",NA,"3.8","1st year undergraduate","Yes","Hispanic, Latino or Spanish Origin (E.g., Mexican or Mexican American. Puerto Rican, Cuban, Salvadorian, Dominican, etc.)",NA,NA,"Dominican",NA,NA,NA,NA,"Yes","Yes","No","Single",NA,"$60,000 to $99,999","$200 or less",NA,"$150,001 to $299,999","Status based on Level of achievements ","Being active in social setting, events , with people "
"2024","Spring","24105404",3.879,133,"BA/MA","2024-03-18","2024-03-18","1278","40.8123","-73.9682","10520","1995","Female",NA,"Female","Uncertain/Questioning",NA,"Full-time (12 credits or more)","Declared (Please specify major):","BA/MA psychology",NA,"3.85","4th year undergraduate","No","Asian (E.g., Chinese, Filipino, Asian Indian, Bangladeshi, Vietnamese, Korean etc,)",NA,NA,NA,"Japanese",NA,NA,NA,"Yes","No","No","Married",NA,"$150,001 to $299,999","$200 or less",NA,"$150,001 to $299,999","unfair","fluid"
"2024","Spring","24136888",3.83,135,"BA/MA","2024-03-18","2024-03-18","1207","40.8123","-73.9682","10025","2000","Female",NA,"Female","Heterosexual (as in ""straight"")",NA,"Part-time (Fewer than 12 credits)","Declared (Please specify major):","Psychology",NA,"3.82","Graduate","No","Some other race, ethnicity or origin",NA,NA,NA,NA,NA,NA,"Mixed race","No","No","No","Single",NA,"Less than $60,000","$401-$600",NA,"$100,000 to $150,000","mainly affiliated with income and earnings","being able to move between economic class"
"2024","Spring","24275553",3.526,120,"BA","2024-03-18","2024-03-18","4450","40.8123","-73.9682","10002","2004","Female",NA,"Female","Heterosexual (as in ""straight"")",NA,"Full-time (12 credits or more)","Declared (Please specify major):","Ad/PR or communications",NA,"3","2nd year undergraduate","No","Asian (E.g., Chinese, Filipino, Asian Indian, Bangladeshi, Vietnamese, Korean etc,)",NA,NA,NA,"Chinese",NA,NA,NA,"Yes","No","No","Single",NA,"Less than $60,000","Other ( Please specify):","I’m unemployed","Less than 60,000","Income levels and professions","Ability to shift one’s social status to another"
"2024","Spring","24184079",3.536,120,"BA","2024-03-18","2024-03-18","883","40.8123","-73.9682","10462","2002","Male",NA,"Male","Heterosexual (as in ""straight"")",NA,"Full-time (12 credits or more)","Declared (Please specify major):","Psychology ",NA,"3.5","3rd year undergraduate","Yes","Hispanic, Latino or Spanish Origin (E.g., Mexican or Mexican American. Puerto Rican, Cuban, Salvadorian, Dominican, etc.)",NA,NA,"Ecuador",NA,NA,NA,NA,"No","No","No","Single",NA,"$60,000 to $99,999","Other ( Please specify):","N/A","$100,000 to $150,000","Where you place in Society.  ","Don’t know"
"2024","Spring","24405762",3.366,57,"BA","2024-03-18","2024-03-18","1474","40.3913","-74.3247","11235","2004","Female",NA,"Female","Heterosexual (as in ""straight"")",NA,"Full-time (12 credits or more)","Undeclared (Please specify intended major):",NA,"biology ","2.8","1st year undergraduate","No","Middle Eastern or North African (E.g., Lebanese, Iranian, Egyptian, Syrian, Moroccan, Algerian, etc.)",NA,NA,NA,NA,NA,"arab",NA,"Yes","No","No","Single",NA,"Less than $60,000","$201-$400",NA,"Greater than $300,000","knowing there's people whose popular and whose not based on what they do ","moving in a higher position in your career "
"2024","Spring","24308217",3.903,143,"BS","2024-03-19","2024-03-19","608","40.839","-73.946","10031","2003","Male",NA,"Male","Heterosexual (as in ""straight"")",NA,"Full-time (12 credits or more)","Declared (Please specify major):","CUNY BA- Social Epidemiology and Neuroscience",NA,"3.86","2nd year undergraduate","No","White or Caucasian (E.g., German, Irish, English, Italian, Polish, French, etc.)","White",NA,NA,NA,NA,NA,NA,"Yes","No","No","Domestic partnership",NA,"$100,000 to $150,000","$801-$1000",NA,"$150,001 to $299,999","Socioeconomic ","Upward avility"
"2024","Spring","24130631",3.606,134,"BA/MA","2024-03-19","2024-03-19","1305","40.839","-73.946","10456","2004","Female",NA,"Female","Bisexual",NA,"Full-time (12 credits or more)","Declared (Please specify major):","Psychology ",NA,"3.6","2nd year undergraduate","Yes","Hispanic, Latino or Spanish Origin (E.g., Mexican or Mexican American. Puerto Rican, Cuban, Salvadorian, Dominican, etc.)",NA,NA,"Dominican",NA,NA,NA,NA,"Yes","No","No","Single",NA,"Less than $60,000","$200 or less",NA,"$60,000 to $99,999","Social status depends on how well your liked within your community. You’re being ranked on your education, job, salary, assets, and etc. ","Social mobility is the way in which you move up the social ladder. Sort of like a child moving from the children’s table to eat lunch to the adult table. Or wen children who have grown up stop holing themselves in their rooms and instead come to join the family function."
"2024","Spring","24108457",3.418,122,"BA","2024-03-19","2024-03-19","2119","40.839","-73.946","11354","2003","Female",NA,"Female","Heterosexual (as in ""straight"")",NA,"Full-time (12 credits or more)","Declared (Please specify major):","Psychology",NA,"3.2","3rd year undergraduate","Yes","Hispanic, Latino or Spanish Origin (E.g., Mexican or Mexican American. Puerto Rican, Cuban, Salvadorian, Dominican, etc.)",NA,NA,"Colombian",NA,NA,NA,NA,"Yes","No","No","Married",NA,"Less than $60,000","$200 or less",NA,"$60,000 to $99,999","ones place on the social ladder and society ","The ability to move through the social ladder"
"2024","Spring","24264044",3.6,30,"BE","2024-03-19","2024-03-19","1765","40.839","-73.946","10472","2005","Female",NA,"Female","Heterosexual (as in ""straight"")",NA,"Full-time (12 credits or more)","Undeclared (Please specify intended major):",NA,"Computer science ","3.7","1st year undergraduate","No","Asian (E.g., Chinese, Filipino, Asian Indian, Bangladeshi, Vietnamese, Korean etc,)",NA,NA,NA,"Bangladeshi ",NA,NA,NA,"Yes","No","No","Single",NA,"Less than $60,000","Other ( Please specify):","0","$100,000 to $150,000","Social status can be define as how standard your job/career is. ","change in a person's socio-economic situation, either in relation to their parents "
"2024","Spring","24040291",3.226,122,"BA","2024-03-19","2024-03-19","2069","40.839","-73.946","10025","2002","Female",NA,"Female","Bisexual",NA,"Full-time (12 credits or more)","Declared (Please specify major):","Psychology",NA,"3.185","4th year undergraduate","Yes","Hispanic, Latino or Spanish Origin (E.g., Mexican or Mexican American. Puerto Rican, Cuban, Salvadorian, Dominican, etc.)",NA,NA,"Cuban Ecuadorian American",NA,NA,NA,NA,"Yes","No","No","Single",NA,"Less than $60,000","$200 or less",NA,"Less than 60,000","Power and influence you have in society","Movement of people and their power in society"
"2024","Spring","24251712",3.369,51,"BS","2024-03-19","2024-03-19","675","40.839","-73.946","11105","2005","Female",NA,"Female","Heterosexual (as in ""straight"")",NA,"Full-time (12 credits or more)","Undeclared (Please specify intended major):",NA,"Psychology BS","3.2","1st year undergraduate","No","Middle Eastern or North African (E.g., Lebanese, Iranian, Egyptian, Syrian, Moroccan, Algerian, etc.)",NA,NA,NA,NA,NA,"Egyptian",NA,"Yes","No","No","Single",NA,"Less than $60,000","Other ( Please specify):","NA I don't work","Less than 60,000","Your job determines how you are viewed by society, if you are smart, accomplished a lot in life and determines how people will usually treat you.","Your social-economic situation can change a lot if you put the effort and mindset to change it. It can either go up or down."
"2024","Spring","23141159",2.191,129,"BS","2024-03-19","2024-03-19","3579","40.839","-73.946","10462","1994","Female",NA,"Female","Heterosexual (as in ""straight"")",NA,"Part-time (Fewer than 12 credits)","Declared (Please specify major):","Psychology",NA,"2","4th year undergraduate","No","Asian (E.g., Chinese, Filipino, Asian Indian, Bangladeshi, Vietnamese, Korean etc,)",NA,NA,NA,"Bangladeshi",NA,NA,NA,"Yes","Yes","No","Single",NA,"Less than $60,000","$801-$1000",NA,"$60,000 to $99,999","Social status is your position in the society. How people of the society perceive you and what range of influence you have on people due to their perception. ","change of social status"
"2024","Spring","24450488",3.185,95,"BA","2024-03-19","2024-03-19","958","40.839","-73.946","11432","2005","Female",NA,"Female","Heterosexual (as in ""straight"")",NA,"Full-time (12 credits or more)","Undeclared (Please specify intended major):",NA,"biology","2.750","1st year undergraduate","Yes","Hispanic, Latino or Spanish Origin (E.g., Mexican or Mexican American. Puerto Rican, Cuban, Salvadorian, Dominican, etc.)",NA,NA,"Guatemalan",NA,NA,NA,NA,"Yes","No","No","Single",NA,"Less than $60,000","$200 or less",NA,"$100,000 to $150,000","social status is how you are defined based on income, education, work","Social mobility is being able to move either up or down the social ladder. "
"2024","Spring","23789014",3.112,119,"BA","2024-03-19","2024-03-19","1577","40.7547","-73.9614","10461","2000","Male",NA,"Male","Heterosexual (as in ""straight"")",NA,"Part-time (Fewer than 12 credits)","Declared (Please specify major):","Psychology",NA,"2.5","5th year undergraduate","Yes","Hispanic, Latino or Spanish Origin (E.g., Mexican or Mexican American. Puerto Rican, Cuban, Salvadorian, Dominican, etc.)",NA,NA,"Puerto Rican",NA,NA,NA,NA,"No","No","No","Single",NA,"$60,000 to $99,999","$201-$400",NA,"Greater than $300,000","Where one stands in the cultural hierarchy of their peers.","The ability to move up in that hierarchy "
"2024","Spring","24051319",3.984,167,"BA/MA","2024-03-19","2024-03-19","500","40.7653","-73.9589","10031","2002","Female",NA,"Gender non-conforming","Bisexual",NA,"Full-time (12 credits or more)","Declared (Please specify major):","Psychology",NA,"3.9","4th year undergraduate","No","White or Caucasian (E.g., German, Irish, English, Italian, Polish, French, etc.)","Irish ancestry",NA,NA,NA,NA,NA,NA,"No","No","No","Single",NA,"$60,000 to $99,999","$201-$400",NA,"$60,000 to $99,999","The class someone is born into","The class you can work your way into "
"2024","Spring","23943536",3.113,120,"BA","2024-03-19","2024-03-19","25643","40.7961","-73.9513","10025","2001","Female",NA,"Female","Homosexual (as in ""lesbian"" or ""gay"")",NA,"Full-time (12 credits or more)","Declared (Please specify major):","Psychology BA",NA,"2.800","4th year undergraduate","Yes","Hispanic, Latino or Spanish Origin (E.g., Mexican or Mexican American. Puerto Rican, Cuban, Salvadorian, Dominican, etc.)",NA,NA,"Mexican American ",NA,NA,NA,NA,"Yes","No","No","Single",NA,"Less than $60,000","$201-$400",NA,"Less than 60,000","A persons importance compared to other people ","Due to your social status you can either move up or down "
"2024","Spring","24023890",3.551,130,"BA/MA","2024-03-19","2024-03-19","1806","40.7652","-73.9588","10032","2002","Female",NA,"Female","Heterosexual (as in ""straight"")",NA,"Full-time (12 credits or more)","Declared (Please specify major):","Psychology ",NA,"3.4","4th year undergraduate","Yes","Hispanic, Latino or Spanish Origin (E.g., Mexican or Mexican American. Puerto Rican, Cuban, Salvadorian, Dominican, etc.)",NA,NA,"Dominican",NA,NA,NA,NA,"Yes","No","No","Single",NA,"Less than $60,000","$200 or less",NA,"$60,000 to $99,999","A rank or position that someone holds in society or in a group ","Someone improving their social status "
"2024","Spring","24012694",3.576,132,"BA/MA","2024-03-19","2024-03-19","657","40.7547","-73.9614","11214","2003","Female",NA,"Female","Heterosexual (as in ""straight"")",NA,"Full-time (12 credits or more)","Declared (Please specify major):","Psychology",NA,"3.5","3rd year undergraduate","No","Middle Eastern or North African (E.g., Lebanese, Iranian, Egyptian, Syrian, Moroccan, Algerian, etc.)",NA,NA,NA,NA,NA,"Algerian",NA,"Yes","No","No","Single",NA,"Less than $60,000","$200 or less",NA,"$60,000 to $99,999","Social class is how id define it","Ability to change social standing"
"2024","Spring","24130675",3.713,130,"BA/MA","2024-03-20","2024-03-20","1055","40.7503","-74.0014","10031","1990","Male",NA,"Male","Homosexual (as in ""lesbian"" or ""gay"")",NA,"Full-time (12 credits or more)","Declared (Please specify major):","Psychology ",NA,"3.63","4th year undergraduate","No","White or Caucasian (E.g., German, Irish, English, Italian, Polish, French, etc.)","Italian",NA,NA,NA,NA,NA,NA,"No","No","No","Married",NA,"$100,000 to $150,000","$1001-$1200",NA,"$150,001 to $299,999","The status to which a person holds in a given society. Mainly surrounding job role and income in a capitalist society","The ability to move up in in society"
"2024","Spring","23259244",3.188,159,"BA/MA","2024-03-20","2024-03-20","1109","40.839","-73.946","10457","1991","Female",NA,"Female","Other (Please identity):","Queer","Full-time (12 credits or more)","Declared (Please specify major):","CASAC in Psychology Combined BA/MA",NA,"3.0","Graduate","No","Some other race, ethnicity or origin",NA,NA,NA,NA,NA,NA,NA,"Yes","No","No","Single",NA,"Less than $60,000","$201-$400",NA,"$60,000 to $99,999","Income bracket/social standing within society ","Ability to change social status"
"2024","Spring","16046772",2.523,120,"BS","2024-03-20","2024-03-20","2355","41.7965","-71.4304","11379","1993","Male",NA,"Male","Heterosexual (as in ""straight"")",NA,"Not a College student","Declared (Please specify major):","Psychology ",NA,"2.6","Graduate","Yes","Hispanic, Latino or Spanish Origin (E.g., Mexican or Mexican American. Puerto Rican, Cuban, Salvadorian, Dominican, etc.)",NA,NA,"Colombian, Ecuadorian",NA,NA,NA,NA,"Yes","No","No","Married",NA,"$60,000 to $99,999","Other ( Please specify):","Unemployed ","$100,000 to $150,000","Wealth and influence in social circles ","The capacity to increase/decrease in wealth and social influence "
"2024","Spring","24134066",3.657,168,"BS","2024-03-20","2024-03-20","761","40.839","-73.946","10314","2004","Female",NA,"Female","Uncertain/Questioning",NA,"Full-time (12 credits or more)","Declared (Please specify major):","MHC Psychology BS",NA,"3.4","2nd year undergraduate","No","White or Caucasian (E.g., German, Irish, English, Italian, Polish, French, etc.)","Irish, German",NA,NA,NA,NA,NA,NA,"No","Yes","No","Single",NA,"$100,000 to $150,000","$200 or less",NA,"$100,000 to $150,000","To me, social status is someone's standing within society. Their job, their salary, how they live, what bills or things they must worry about. I think that social status is mostly tied to the money you make and how you then can allocate that money into your life.","I define social mobility as one's ability to move from a lower social status to a higher, or vice versa. I understand this to be something that most want, in the sense of moving from a lower status to higher, but I think that often times the old anecdote of picking yourself up by your boot straps and working hard to gain a higher social status is something that cannot apply to today's society because of how much has changed socially, and especially economically."
"2024","Spring","24007183",3.931,130,"BA/MA","2024-03-20","2024-03-20","5815","40.782","-73.9953","11436","2004","Female",NA,"Female","Bisexual",NA,"Full-time (12 credits or more)","Declared (Please specify major):","Psychology BA/MA CASAC",NA,"3.9","3rd year undergraduate","No","Some other race, ethnicity or origin",NA,NA,NA,NA,NA,NA,"West Indian ","No","No","No","Single",NA,"Less than $60,000","$201-$400",NA,"$60,000 to $99,999","Your social class based on income/where you live etc (upper, middle, lower) ","being able to move between the social class (going from lower to mid or vice versa)"
"2024","Spring","24265336",4,143,"BA/MA","2024-03-20","2024-03-20","2602","40.839","-73.946","10035","1967","Male",NA,"Male","Heterosexual (as in ""straight"")",NA,"Full-time (12 credits or more)","Declared (Please specify major):","psychology",NA,"4","Graduate","No","Asian (E.g., Chinese, Filipino, Asian Indian, Bangladeshi, Vietnamese, Korean etc,)",NA,NA,NA,"Japanese",NA,NA,NA,"Yes","No","Yes","Single",NA,"Less than $60,000","Other ( Please specify):","seasonal 1000 in summer","$60,000 to $99,999","power","access to success"
"2024","Spring","24440214",3.717,98,"BS","2024-03-20","2024-03-20","1098","40.839","-73.946","11226","2005","Female",NA,"Female","Heterosexual (as in ""straight"")",NA,"Full-time (12 credits or more)","Undeclared (Please specify intended major):",NA,"Pre-Health","4.0","1st year undergraduate","No","Black or African American (E.g., African American, Jamaican, Haitian, Nigerian, Ethiopian, Somalian, etc.:",NA,"Haitian",NA,NA,NA,NA,NA,"Yes","No","No","Single",NA,"Less than $60,000","$200 or less",NA,"$100,000 to $150,000","SocioEconomic standpoint","Being able to make more money, be more educated."
"2024","Spring","24204144",3.838,121,"BA","2024-03-20","2024-03-20","6310","40.8171","-73.9392","11372","2003","Female",NA,"Female","Heterosexual (as in ""straight"")",NA,"Full-time (12 credits or more)","Declared (Please specify major):","Psychology ",NA,"3.8","3rd year undergraduate","Yes","Hispanic, Latino or Spanish Origin (E.g., Mexican or Mexican American. Puerto Rican, Cuban, Salvadorian, Dominican, etc.)",NA,NA,"Ecuadorian ",NA,NA,NA,NA,"Yes","No","No","Single",NA,"Less than $60,000","$200 or less",NA,"$60,000 to $99,999","Your position in life ","The ability to change your status"
"2024","Spring","23966914",3.818,146,"BS","2024-03-20","2024-03-20","1096","40.839","-73.946","11385","2002","Male",NA,"Male","Heterosexual (as in ""straight"")",NA,"Full-time (12 credits or more)","Declared (Please specify major):","Psychology",NA,"3.794","4th year undergraduate","Yes","Hispanic, Latino or Spanish Origin (E.g., Mexican or Mexican American. Puerto Rican, Cuban, Salvadorian, Dominican, etc.)",NA,NA,"Ecuadorian",NA,NA,NA,NA,"Yes","No","Yes","Single",NA,"Less than $60,000","$201-$400",NA,"$150,001 to $299,999","The level of prestige and respect a person has. Often associated with a good salary and mannerisms.","Changing your social status via actions."
"2024","Spring","23990732",3.274,129,"BA/MA","2024-03-20","2024-03-20","884","40.839","-73.946","10306","2003","Male",NA,"Male","Heterosexual (as in ""straight"")",NA,"Full-time (12 credits or more)","Declared (Please specify major):","BAMA psychology ",NA,"3.1","3rd year undergraduate","Yes","Hispanic, Latino or Spanish Origin (E.g., Mexican or Mexican American. Puerto Rican, Cuban, Salvadorian, Dominican, etc.)",NA,NA,"Mexican",NA,NA,NA,NA,"Yes","No","No","Single",NA,"Less than $60,000","$201-$400",NA,"$60,000 to $99,999","mid to lower class","that there is no concrete social status "
