gre,university,gpa,research,admission
314,4,9.02,0,0.82
313,3,9,0,0.79
307,2,7.65,0,0.58
300,2,7.87,0,0.56
302,2,7.97,0,0.56
312,1,8.18,1,0.64
316,2,8.32,1,0.61
317,2,8.57,0,0.68
310,3,8.67,0,0.76
320,3,9.11,0,0.86
330,3,9.24,1,0.9
305,3,8.65,0,0.71
309,2,8,0,0.62
319,2,8.76,0,0.66
322,2,8.45,1,0.65
323,3,8.55,1,0.73
313,2,8.43,0,0.62
321,3,8.8,1,0.74
323,3,9.1,1,0.79
325,4,9,1,0.8
312,3,8.53,0,0.69
308,4,8.6,0,0.7
320,3,8.74,1,0.76
328,4,9.18,1,0.84
311,4,9,1,0.78
301,3,8.04,0,0.67
305,2,8.13,0,0.66
308,2,8.07,0,0.65
298,2,7.86,0,0.54
300,1,8.01,0,0.58
324,3,8.8,1,0.79
327,4,8.69,1,0.8
317,3,8.5,1,0.75
323,3,8.44,1,0.73
314,2,8.27,0,0.72
305,2,8.18,0,0.62
315,3,8.33,0,0.67
326,3,9.14,1,0.81
299,3,8.02,0,0.63
295,2,7.86,0,0.69
324,4,8.77,1,0.8
297,2,7.89,0,0.43
327,3,8.66,1,0.8
311,2,8.12,1,0.73
308,3,8.21,1,0.75
319,3,8.54,1,0.71
312,4,8.65,1,0.73
325,4,9.11,1,0.83
319,3,8.79,0,0.72
332,5,9.47,1,0.94
323,5,8.74,1,0.81
324,5,8.66,1,0.81
312,3,8.46,1,0.75
326,3,8.76,1,0.79
308,3,8.24,0,0.58
305,2,8.13,0,0.59
295,2,7.34,0,0.47
316,1,7.43,0,0.49
304,2,7.64,0,0.47
299,1,7.34,0,0.42
302,1,7.25,0,0.57
313,3,8.04,0,0.62
318,3,8.27,1,0.74
325,4,8.67,1,0.73
303,2,8.06,1,0.64
300,3,8.17,0,0.63
297,2,7.67,0,0.59
317,2,8.12,0,0.73
327,3,8.77,1,0.79
301,2,7.89,1,0.68
314,2,7.64,0,0.7
321,2,8.44,0,0.81
322,3,8.64,1,0.85
334,4,9.54,1,0.93
338,5,9.23,1,0.91
306,2,8.36,0,0.69
313,3,8.9,1,0.77
330,4,9.17,1,0.86
320,3,8.34,1,0.74
311,1,7.46,0,0.57
298,1,7.88,0,0.51
301,1,8.03,1,0.67
310,2,8.24,0,0.72
324,3,9.22,1,0.89
336,4,9.62,1,0.95
321,3,8.54,1,0.79
315,2,7.65,0,0.39
304,2,7.66,0,0.38
297,2,7.43,0,0.34
290,1,7.56,0,0.47
303,1,7.65,0,0.56
311,1,8.43,1,0.71
322,3,8.84,1,0.78
319,3,8.67,1,0.73
324,4,9.15,1,0.82
300,3,8.26,0,0.62
340,4,9.74,1,0.96
335,5,9.82,1,0.96
302,2,7.96,0,0.46
307,2,8.1,0,0.53
296,2,7.8,0,0.49
320,3,8.44,1,0.76
314,2,8.24,0,0.64
318,3,8.65,0,0.71
326,4,9.12,1,0.84
317,2,8.76,0,0.77
329,4,9.23,1,0.89
324,3,9.04,1,0.82
325,3,9.11,1,0.84
330,4,9.45,1,0.91
312,3,8.78,0,0.67
333,4,9.66,1,0.95
