danceability,mode,acousticness,valence,genre
0.8,1,0.0206,0.179,Dark Trap
0.781,1,0.0717,0.0383,Dark Trap
0.817,1,0.187,0.34,Dark Trap
0.814,0,0.11,0.191,Dark Trap
0.678,0,0.125,0.284,Dark Trap
0.755,1,0.0355,0.465,Dark Trap
0.81,1,0.0444,0.155,Dark Trap
0.806,1,0.274,0.182,Dark Trap
0.89,1,0.318,0.436,Dark Trap
0.909,1,0.0332,0.392,Dark Trap
0.735,0,0.0185,0.116,Dark Trap
0.698,0,0.0226,0.266,Dark Trap
0.577,1,0.372,0.0658,Dark Trap
0.827,1,0.0456,0.545,Dark Trap
0.68,1,0.00914,0.228,Dark Trap
0.721,0,0.0116,0.0385,Dark Trap
0.777,1,0.26,0.452,Dark Trap
0.579,1,0.0605,0.312,Dark Trap
0.86,1,0.578,0.142,Dark Trap
0.425,1,0.0639,0.0679,Dark Trap
0.494,1,0.00421,0.0722,Dark Trap
0.649,0,0.717,0.0294,Dark Trap
0.814,1,0.185,0.82,Dark Trap
0.37,1,0.403,0.0755,Dark Trap
0.888,1,0.221,0.477,Dark Trap
0.816,1,0.255,0.265,Dark Trap
0.713,0,0.00417,0.0369,Dark Trap
0.449,0,0.00956,0.0589,Dark Trap
0.923,1,0.0204,0.839,Dark Trap
0.832,0,0.343,0.178,Dark Trap
0.569,0,0.378,0.0711,Dark Trap
0.476,1,7.44E-05,0.43,Dark Trap
0.403,0,0.00114,0.0696,Dark Trap
0.836,1,5.19E-05,0.0374,Dark Trap
0.818,1,0.00511,0.452,Dark Trap
0.849,1,0.0019,0.0582,Dark Trap
0.703,1,0.000883,0.161,Dark Trap
0.708,1,0.698,0.118,Dark Trap
0.852,0,0.354,0.803,Dark Trap
0.694,0,0.0336,0.136,Dark Trap
0.595,1,0.474,0.105,Dark Trap
0.721,0,0.557,0.175,Dark Trap
0.846,1,0.0129,0.133,Dark Trap
0.76,1,0.11,0.184,Dark Trap
0.529,0,0.0198,0.181,Dark Trap
0.559,1,0.0203,0.0911,Dark Trap
0.965,0,0.607,0.462,Dark Trap
0.596,0,0.00319,0.235,Dark Trap
0.712,1,0.0127,0.549,Dark Trap
0.697,1,0.137,0.545,Dark Trap
0.841,1,0.0892,0.26,Dark Trap
0.739,0,0.00673,0.0457,Dark Trap
0.865,0,0.0866,0.671,Dark Trap
0.775,1,0.176,0.521,Dark Trap
0.739,1,0.136,0.231,Dark Trap
0.725,0,0.0259,0.0595,Dark Trap
0.63,0,0.0166,0.256,Dark Trap
0.704,1,0.0854,0.348,Dark Trap
0.735,1,0.11,0.42,Dark Trap
0.864,1,0.0229,0.599,Dark Trap
0.48,1,0.0484,0.393,Dark Trap
0.726,1,0.00353,0.156,Dark Trap
0.755,0,0.0272,0.401,Dark Trap
0.881,1,0.00209,0.0379,Dark Trap
0.849,1,0.254,0.295,Dark Trap
0.602,0,0.0498,0.112,Dark Trap
0.924,1,0.432,0.104,Dark Trap
0.919,1,0.14,0.159,Dark Trap
0.848,0,0.523,0.333,Dark Trap
0.475,0,0.231,0.26,Dark Trap
0.762,1,0.278,0.0813,Dark Trap
0.789,0,0.242,0.678,Dark Trap
0.756,1,0.0362,0.474,Dark Trap
0.799,1,0.185,0.736,Dark Trap
0.931,0,0.00946,0.0603,Dark Trap
0.898,0,0.484,0.763,Dark Trap
0.835,1,0.00177,0.267,Dark Trap
0.716,1,0.216,0.0971,Dark Trap
0.723,1,0.00096,0.313,Dark Trap
0.849,1,0.00493,0.271,Dark Trap
0.762,1,0.148,0.0671,Dark Trap
0.756,1,0.00834,0.308,Dark Trap
0.727,1,0.0245,0.529,Dark Trap
0.783,1,0.0716,0.0381,Dark Trap
0.841,0,0.289,0.278,Dark Trap
0.685,0,0.208,0.107,Dark Trap
0.556,1,0.0807,0.484,Dark Trap
0.625,1,0.0776,0.0362,Dark Trap
0.8,1,0.0128,0.462,Dark Trap
0.734,1,0.0133,0.256,Dark Trap
0.777,1,0.165,0.605,Dark Trap
0.733,0,0.0219,0.259,Dark Trap
0.803,0,0.0304,0.647,Dark Trap
0.649,0,0.0483,0.355,Dark Trap
0.58,0,0.0152,0.482,Dark Trap
0.801,0,0.17,0.483,Dark Trap
0.677,1,0.0027,0.146,Dark Trap
0.623,0,0.22,0.203,Dark Trap
0.797,1,0.018,0.313,Dark Trap
0.85,1,0.53,0.595,Dark Trap
0.743,1,0.254,0.339,Dark Trap
0.876,1,0.0224,0.271,Dark Trap
0.665,1,0.13,0.12,Dark Trap
0.81,0,0.248,0.281,Dark Trap
0.618,1,0.0191,0.249,Dark Trap
0.622,1,0.0342,0.296,Dark Trap
0.674,1,0.117,0.222,Dark Trap
0.628,0,0.0608,0.203,Dark Trap
0.877,1,0.00181,0.119,Dark Trap
0.585,0,0.0505,0.181,Dark Trap
0.717,1,0.244,0.412,Dark Trap
0.714,0,0.205,0.178,Dark Trap
0.473,0,0.0212,0.303,Dark Trap
0.767,1,0.0673,0.536,Dark Trap
0.719,1,0.138,0.0808,Dark Trap
0.85,1,0.00487,0.419,Dark Trap
0.672,1,0.0303,0.106,Dark Trap
0.758,1,0.607,0.565,Dark Trap
0.76,1,0.00972,0.493,Dark Trap
0.508,0,0.0231,0.337,Dark Trap
0.869,1,0.0493,0.658,Dark Trap
0.985,1,0.0631,0.425,Dark Trap
0.738,0,0.0226,0.358,Dark Trap
0.675,1,0.0121,0.482,Dark Trap
0.876,0,0.0489,0.775,Dark Trap
0.725,1,0.163,0.231,Dark Trap
0.89,0,0.235,0.374,Dark Trap
0.849,0,0.00286,0.458,Dark Trap
0.695,0,0.000424,0.354,Dark Trap
0.876,1,0.202,0.158,Dark Trap
0.463,1,0.393,0.0894,Dark Trap
0.709,1,0.165,0.455,Dark Trap
0.771,1,0.0939,0.232,Dark Trap
0.136,1,0.0965,0.0362,Dark Trap
0.476,1,3.28E-05,0.114,Dark Trap
0.499,1,0.0731,0.108,Dark Trap
0.851,0,0.26,0.0399,Dark Trap
0.241,1,3.26E-05,0.403,Dark Trap
0.622,0,0.651,0.602,Dark Trap
0.745,1,0.0345,0.402,Dark Trap
0.855,1,0.0773,0.736,Dark Trap
0.549,0,0.632,0.132,Dark Trap
0.702,0,0.604,0.195,Dark Trap
0.53,1,0.0608,0.458,Dark Trap
0.726,1,0.00587,0.0855,Dark Trap
0.708,1,0.0156,0.0712,Dark Trap
0.66,1,0.247,0.435,Dark Trap
0.447,1,0.0432,0.0367,Dark Trap
0.278,1,8.60E-05,0.0775,Dark Trap
0.321,0,0.00334,0.196,Dark Trap
0.542,1,0.00334,0.321,Dark Trap
0.688,1,0.105,0.28,Dark Trap
0.953,1,0.00957,0.128,Dark Trap
0.881,1,0.14,0.432,Dark Trap
0.897,0,0.0852,0.389,Dark Trap
0.705,1,0.143,0.465,Dark Trap
0.782,0,0.268,0.34,Dark Trap
0.643,1,0.186,0.266,Dark Trap
0.73,0,0.0295,0.359,Dark Trap
0.648,0,0.126,0.192,Dark Trap
0.481,0,0.149,0.257,Dark Trap
0.738,0,0.28,0.635,Dark Trap
0.84,1,0.0423,0.07,Dark Trap
0.936,0,0.0632,0.566,Dark Trap
0.908,0,0.267,0.114,Dark Trap
0.925,1,0.0604,0.81,Dark Trap
0.906,0,0.136,0.678,Dark Trap
0.803,1,0.344,0.549,Dark Trap
0.487,1,0.00947,0.0564,Dark Trap
0.77,1,0.387,0.418,Dark Trap
0.745,0,0.168,0.185,Dark Trap
0.887,0,0.0428,0.326,Dark Trap
0.574,0,0.00757,0.488,Dark Trap
0.681,1,0.0745,0.175,Dark Trap
0.595,1,0.0106,0.134,Dark Trap
0.72,1,0.0122,0.228,Dark Trap
0.577,1,0.00627,0.189,Dark Trap
0.755,1,0.0816,0.525,Dark Trap
0.737,1,0.283,0.457,Dark Trap
0.701,0,0.403,0.616,Dark Trap
0.674,1,0.0189,0.357,Dark Trap
0.581,1,0.0153,0.434,Dark Trap
0.747,0,0.369,0.552,Dark Trap
0.595,1,0.0866,0.205,Dark Trap
0.768,0,0.0816,0.548,Dark Trap
0.66,1,0.0806,0.642,Dark Trap
0.847,0,0.00574,0.202,Dark Trap
0.744,0,0.356,0.316,Dark Trap
0.89,1,0.0232,0.425,Dark Trap
0.861,1,0.00761,0.0487,Dark Trap
0.772,1,0.113,0.233,Dark Trap
0.772,0,0.0361,0.211,Dark Trap
0.728,1,0.01,0.393,Dark Trap
0.783,0,0.169,0.411,Dark Trap
0.759,0,0.145,0.74,Dark Trap
0.497,0,0.0576,0.231,Dark Trap
0.793,1,0.277,0.129,Dark Trap
0.716,1,0.0021,0.387,Dark Trap
0.794,0,0.591,0.588,Dark Trap
0.603,1,0.0871,0.159,Dark Trap
0.743,0,0.24,0.495,Dark Trap
0.791,0,0.0427,0.497,Dark Trap
0.781,0,0.0415,0.544,Dark Trap
0.557,0,0.00946,0.123,Dark Trap
0.774,1,0.00163,0.382,Dark Trap
0.799,0,0.0423,0.439,Dark Trap
0.712,0,0.00365,0.469,Dark Trap
0.656,1,0.0228,0.176,Dark Trap
0.904,1,0.0493,0.359,Dark Trap
0.668,0,0.161,0.31,Dark Trap
0.964,0,0.00127,0.107,Dark Trap
0.635,0,0.000185,0.233,Dark Trap
0.813,0,0.144,0.398,Dark Trap
0.653,1,0.114,0.818,Dark Trap
0.851,1,0.306,0.292,Dark Trap
0.806,0,0.023,0.0626,Dark Trap
0.71,0,0.251,0.449,Dark Trap
0.717,0,0.295,0.391,Dark Trap
0.81,0,0.0114,0.183,Dark Trap
0.691,0,0.0563,0.331,Dark Trap
0.578,1,0.0103,0.662,Dark Trap
0.63,0,0.105,0.0657,Dark Trap
0.756,1,0.236,0.0793,Dark Trap
0.804,0,0.0624,0.157,Dark Trap
0.89,0,0.158,0.224,Dark Trap
0.739,1,0.442,0.127,Dark Trap
0.755,0,0.754,0.699,Dark Trap
0.754,0,0.045,0.491,Dark Trap
0.756,0,0.181,0.216,Dark Trap
0.852,0,0.0599,0.258,Dark Trap
0.64,1,0.0521,0.642,Dark Trap
0.859,0,0.105,0.153,Dark Trap
0.759,0,0.293,0.706,Dark Trap
0.925,1,0.0238,0.165,Dark Trap
0.543,0,0.524,0.199,Dark Trap
0.411,1,0.239,0.0763,Dark Trap
0.635,0,0.000647,0.281,Dark Trap
0.741,1,0.0544,0.0971,Dark Trap
0.733,1,0.0359,0.29,Dark Trap
0.593,0,0.0133,0.0789,Dark Trap
0.765,0,0.17,0.642,Dark Trap
0.751,0,0.056,0.0396,Dark Trap
0.823,1,0.0161,0.26,Dark Trap
0.311,1,0.0821,0.197,Dark Trap
0.735,0,0.379,0.666,Dark Trap
0.867,1,0.0116,0.271,Dark Trap
0.873,1,0.0197,0.259,Dark Trap
0.756,1,0.2,0.419,Dark Trap
0.524,0,0.00361,0.0397,Dark Trap
0.828,1,0.134,0.504,Dark Trap
0.539,1,0.0123,0.321,Dark Trap
0.401,1,0.104,0.301,Dark Trap
0.848,1,0.00876,0.29,Dark Trap
0.55,1,0.116,0.0374,Dark Trap
0.9,1,0.0158,0.0666,Dark Trap
0.666,1,0.0472,0.11,Dark Trap
0.787,1,0.064,0.0399,Dark Trap
0.729,1,0.0629,0.286,Dark Trap
0.752,1,0.139,0.366,Dark Trap
0.685,0,0.0848,0.29,Dark Trap
0.393,1,0.0192,0.603,Dark Trap
0.727,1,0.328,0.165,Dark Trap
0.629,1,0.238,0.345,Dark Trap
0.578,1,0.552,0.333,Dark Trap
0.7,1,0.183,0.115,Dark Trap
0.523,1,0.567,0.0757,Dark Trap
0.671,0,0.0589,0.343,Dark Trap
0.756,1,0.0039,0.114,Dark Trap
0.598,0,0.196,0.0819,Dark Trap
0.973,0,0.0303,0.265,Dark Trap
0.631,1,0.0223,0.0611,Dark Trap
0.692,1,0.73,0.33,Dark Trap
0.572,1,0.0635,0.5,Dark Trap
0.546,1,0.476,0.227,Dark Trap
0.517,1,0.388,0.231,Dark Trap
0.792,1,0.385,0.251,Dark Trap
0.545,0,0.0658,0.217,Dark Trap
0.544,1,0.0185,0.678,Dark Trap
0.618,1,0.836,0.0872,Dark Trap
0.672,1,0.619,0.204,Dark Trap
0.698,0,0.00132,0.637,Dark Trap
0.737,1,0.238,0.0962,Dark Trap
0.777,0,0.329,0.848,Dark Trap
0.861,1,0.155,0.518,Dark Trap
0.428,0,0.3,0.394,Dark Trap
0.664,1,0.0126,0.512,Dark Trap
0.639,1,0.556,0.191,Dark Trap
0.657,0,0.772,0.672,Dark Trap
0.713,1,0.0558,0.178,Dark Trap
0.652,0,0.0482,0.106,Dark Trap
0.648,0,0.318,0.18,Dark Trap
0.531,0,0.139,0.246,Dark Trap
0.834,0,0.797,0.175,Dark Trap
0.665,0,0.00872,0.141,Dark Trap
0.632,1,0.183,0.207,Dark Trap
0.673,1,0.798,0.112,Dark Trap
0.634,1,0.0393,0.229,Dark Trap
0.719,0,0.891,0.17,Dark Trap
0.534,1,0.0262,0.145,Dark Trap
0.607,1,0.193,0.635,Dark Trap
0.531,1,0.00527,0.154,Dark Trap
0.633,0,0.114,0.239,Dark Trap
0.889,1,0.686,0.784,Dark Trap
0.655,1,0.0499,0.068,Dark Trap
0.834,1,0.126,0.614,Dark Trap
0.723,0,0.0648,0.268,Dark Trap
0.519,1,0.0148,0.0633,Dark Trap
0.54,1,0.000606,0.0585,Dark Trap
0.476,0,0.167,0.334,Dark Trap
0.746,0,0.398,0.145,Dark Trap
0.545,1,0.025,0.351,Dark Trap
0.713,1,0.136,0.234,Dark Trap
0.511,1,0.0141,0.0586,Dark Trap
0.734,1,0.82,0.183,Dark Trap
0.849,0,0.475,0.144,Dark Trap
0.497,1,0.485,0.197,Dark Trap
0.79,1,0.136,0.3,Dark Trap
0.711,1,0.404,0.345,Dark Trap
0.824,0,0.0666,0.21,Dark Trap
0.448,0,0.0427,0.0767,Dark Trap
0.874,1,0.562,0.401,Dark Trap
0.687,0,0.0115,0.435,Dark Trap
0.666,1,0.0379,0.294,Dark Trap
0.703,1,0.617,0.696,Dark Trap
0.829,1,0.153,0.257,Dark Trap
0.719,0,0.00926,0.496,Dark Trap
0.776,1,0.0377,0.726,Dark Trap
0.675,0,0.152,0.29,Dark Trap
0.727,1,0.0467,0.304,Dark Trap
0.777,0,0.0386,0.101,Dark Trap
0.866,0,0.0488,0.248,Dark Trap
0.636,0,0.00244,0.0999,Dark Trap
0.809,1,0.141,0.585,Dark Trap
0.675,0,0.00997,0.511,Dark Trap
0.859,1,0.0144,0.268,Dark Trap
0.685,1,0.07,0.189,Dark Trap
0.622,1,0.213,0.409,Dark Trap
0.592,1,0.132,0.559,Dark Trap
0.621,1,0.00291,0.23,Dark Trap
0.724,0,0.267,0.247,Dark Trap
0.615,1,0.147,0.0395,Dark Trap
0.38,1,0.0983,0.0765,Dark Trap
0.639,0,0.0358,0.235,Dark Trap
0.552,1,0.0626,0.101,Dark Trap
0.713,1,0.143,0.358,Dark Trap
0.628,0,0.34,0.0748,Dark Trap
0.646,0,0.161,0.0511,Dark Trap
0.748,1,0.0203,0.25,Dark Trap
0.615,1,0.00603,0.438,Dark Trap
0.694,0,0.187,0.267,Dark Trap
0.455,1,0.243,0.207,Dark Trap
0.725,0,0.316,0.471,Dark Trap
0.703,1,0.416,0.624,Dark Trap
0.786,1,0.843,0.294,Dark Trap
0.705,0,0.00476,0.398,Dark Trap
0.767,0,0.042,0.312,Dark Trap
0.676,1,0.0948,0.151,Dark Trap
0.621,1,0.043,0.433,Dark Trap
0.527,1,0.194,0.552,Dark Trap
0.45,0,0.966,0.213,Dark Trap
0.891,1,0.013,0.126,Dark Trap
0.906,1,0.0139,0.263,Dark Trap
0.31,0,0.126,0.084,Dark Trap
0.664,0,0.203,0.188,Dark Trap
0.629,0,0.216,0.334,Dark Trap
0.308,0,0.899,0.152,Dark Trap
0.628,1,0.023,0.68,Dark Trap
0.584,1,0.834,0.0339,Dark Trap
0.57,0,0.199,0.192,Dark Trap
0.54,0,0.0427,0.121,Dark Trap
0.875,1,0.396,0.38,Dark Trap
0.829,0,0.0566,0.153,Dark Trap
0.49,0,0.802,0.113,Dark Trap
0.778,0,0.822,0.42,Dark Trap
0.928,0,0.165,0.208,Dark Trap
0.84,1,0.0185,0.0309,Dark Trap
0.671,0,0.39,0.687,Dark Trap
0.886,1,0.0987,0.0389,Dark Trap
0.692,1,0.0065,0.484,Dark Trap
0.801,1,0.292,0.811,Dark Trap
0.697,1,0.892,0.575,Dark Trap
0.706,1,0.823,0.761,Dark Trap
0.726,0,0.731,0.348,Dark Trap
0.805,0,0.182,0.363,Dark Trap
0.652,1,0.931,0.469,Dark Trap
0.543,0,0.577,0.118,Dark Trap
0.696,0,0.308,0.524,Dark Trap
0.88,1,0.0264,0.694,Dark Trap
0.812,0,0.0138,0.805,Dark Trap
0.371,0,0.00374,0.195,Dark Trap
0.34,1,0.0252,0.37,Dark Trap
0.574,1,0.04,0.567,Dark Trap
0.53,0,0.0103,0.492,Dark Trap
0.785,0,0.111,0.449,Dark Trap
0.61,0,0.385,0.371,Dark Trap
0.721,1,0.528,0.376,Dark Trap
0.589,0,0.031,0.538,Dark Trap
0.451,1,0.182,0.246,Dark Trap
0.643,1,0.259,0.0398,Dark Trap
0.699,0,0.158,0.354,Dark Trap
0.839,0,0.556,0.506,Dark Trap
0.616,0,0.0254,0.345,Dark Trap
0.683,1,0.0442,0.308,Dark Trap
0.416,1,0.0045,0.117,Dark Trap
0.592,1,0.132,0.43,Dark Trap
0.663,1,0.0993,0.653,Dark Trap
0.796,0,0.0246,0.0512,Dark Trap
0.543,1,0.202,0.16,Dark Trap
0.719,0,0.0684,0.274,Dark Trap
0.513,1,0.136,0.23,Dark Trap
0.571,1,0.0128,0.0607,Dark Trap
0.707,0,0.049,0.248,Dark Trap
0.498,0,0.0124,0.358,Dark Trap
0.602,0,0.0825,0.475,Dark Trap
0.649,0,0.749,0.175,Dark Trap
0.567,1,0.0506,0.056,Dark Trap
0.37,0,0.343,0.173,Dark Trap
0.675,0,0.00997,0.511,Dark Trap
0.622,1,0.0012,0.348,Dark Trap
0.649,1,0.0278,0.535,Dark Trap
0.468,0,0.236,0.193,Dark Trap
0.657,1,0.0192,0.626,Dark Trap
0.598,0,0.637,0.254,Dark Trap
0.516,0,0.0618,0.443,Dark Trap
0.592,1,0.0208,0.315,Dark Trap
0.596,1,0.00129,0.397,Dark Trap
0.56,0,0.145,0.465,Dark Trap
0.662,1,0.133,0.496,Dark Trap
0.619,1,0.0822,0.218,Dark Trap
0.422,1,0.00483,0.446,Dark Trap
0.599,0,0.168,0.469,Dark Trap
0.682,1,0.142,0.225,Dark Trap
0.533,1,0.0385,0.324,Dark Trap
0.576,1,0.00142,0.169,Dark Trap
0.739,1,0.24,0.225,Dark Trap
0.64,1,0.000144,0.207,Dark Trap
0.313,0,0.231,0.103,Dark Trap
0.45,1,0.223,0.0636,Dark Trap
0.75,1,0.598,0.49,Dark Trap
0.844,1,0.0735,0.23,Dark Trap
0.787,0,0.176,0.146,Dark Trap
0.527,0,0.0023,0.295,Dark Trap
0.842,1,0.000521,0.662,Dark Trap
0.362,1,0.511,0.0384,Dark Trap
0.64,1,0.00264,0.0415,Dark Trap
0.618,0,0.367,0.214,Dark Trap
0.648,0,0.667,0.408,Dark Trap
0.389,0,0.275,0.0686,Dark Trap
0.679,0,0.591,0.147,Dark Trap
0.839,1,0.453,0.292,Dark Trap
0.266,1,0.0174,0.151,Dark Trap
0.219,1,0.807,0.0653,Dark Trap
0.305,1,0.124,0.474,Dark Trap
0.655,1,0.0796,0.463,Dark Trap
0.531,1,0.731,0.0906,Dark Trap
0.434,0,0.00125,0.156,Dark Trap
0.646,0,0.0949,0.501,Dark Trap
0.597,0,0.546,0.262,Dark Trap
0.719,1,0.107,0.544,Dark Trap
0.663,1,0.0465,0.15,Dark Trap
0.668,0,0.0649,0.217,Dark Trap
0.541,1,0.0249,0.119,Dark Trap
0.779,1,0.0553,0.429,Dark Trap
0.346,1,0.00829,0.163,Dark Trap
0.831,0,0.129,0.518,Dark Trap
0.782,0,0.0128,0.505,Dark Trap
0.879,0,0.00081,0.173,Dark Trap
0.379,1,0.283,0.0331,Dark Trap
0.462,1,0.0615,0.269,Dark Trap
0.661,0,0.0348,0.143,Dark Trap
0.601,0,0.0552,0.463,Dark Trap
0.773,1,0.538,0.67,Dark Trap
0.588,1,0.154,0.469,Dark Trap
0.695,1,0.132,0.339,Dark Trap
0.851,1,0.309,0.591,Dark Trap
0.842,1,0.712,0.0936,Dark Trap
0.808,1,0.0357,0.302,Dark Trap
0.662,1,0.00876,0.774,Dark Trap
0.748,0,0.223,0.508,Dark Trap
0.921,0,0.127,0.641,Dark Trap
0.605,1,0.0208,0.347,Dark Trap
0.546,0,0.199,0.0392,Dark Trap
0.216,1,0.372,0.0596,Dark Trap
0.601,0,0.163,0.288,Dark Trap
0.815,1,0.0244,0.796,Dark Trap
0.692,0,0.0356,0.158,Dark Trap
0.845,1,0.0122,0.0745,Dark Trap
0.517,1,0.00307,0.166,Dark Trap
0.796,1,0.0186,0.359,Dark Trap
0.819,0,0.814,0.5,Dark Trap
0.782,1,0.0196,0.14,Dark Trap
0.574,1,0.148,0.214,Dark Trap
0.623,1,0.0131,0.47,Dark Trap
0.65,1,0.000503,0.352,Dark Trap
0.406,1,0.00553,0.073,Dark Trap
0.85,1,0.0229,0.187,Dark Trap
0.682,1,0.238,0.424,Dark Trap
0.661,1,0.379,0.444,Dark Trap
0.405,1,0.232,0.354,Dark Trap
0.646,1,0.176,0.0387,Dark Trap
0.732,1,0.0163,0.0362,Dark Trap
0.693,1,0.00757,0.0588,Dark Trap
0.534,1,0.116,0.353,Dark Trap
0.638,0,0.186,0.583,Dark Trap
0.78,0,0.00448,0.0659,Dark Trap
0.744,0,0.0195,0.619,Dark Trap
0.754,1,0.0737,0.639,Dark Trap
0.461,1,0.0786,0.171,Dark Trap
0.945,1,0.253,0.509,Dark Trap
0.305,1,0.0475,0.164,Dark Trap
0.482,0,0.295,0.263,Dark Trap
0.634,0,0.162,0.0426,Dark Trap
0.564,1,0.131,0.257,Dark Trap
0.822,1,0.03,0.92,Dark Trap
0.77,0,0.0042,0.615,Dark Trap
0.876,1,0.165,0.141,Dark Trap
0.846,1,0.111,0.815,Dark Trap
0.762,1,0.482,0.813,Dark Trap
0.766,1,0.0171,0.232,Dark Trap
0.805,0,0.000775,0.681,Dark Trap
0.811,0,0.00302,0.772,Dark Trap
0.796,0,0.0264,0.569,Dark Trap
0.757,1,0.0153,0.769,Dark Trap
0.653,0,0.229,0.116,Dark Trap
0.814,0,0.0548,0.552,Dark Trap
0.767,0,0.169,0.519,Dark Trap
0.753,1,0.0641,0.445,Dark Trap
0.855,1,0.22,0.655,Dark Trap
0.888,1,0.00211,0.963,Dark Trap
0.741,1,0.431,0.652,Dark Trap
0.504,0,0.742,0.115,Dark Trap
0.587,1,0.118,0.409,Dark Trap
0.639,1,0.207,0.446,Dark Trap
0.351,1,0.0012,0.0446,Dark Trap
0.665,1,0.225,0.491,Dark Trap
0.703,1,0.645,0.0992,Dark Trap
0.661,0,0.128,0.537,Dark Trap
0.641,1,0.0359,0.218,Dark Trap
0.497,1,0.154,0.757,Dark Trap
0.322,0,0.000101,0.0759,Dark Trap
0.605,1,0.162,0.403,Dark Trap
0.62,1,0.15,0.46,Dark Trap
0.628,1,0.066,0.241,Dark Trap
0.567,1,0.000168,0.268,Dark Trap
0.761,1,0.154,0.378,Dark Trap
0.373,1,0.162,0.32,Dark Trap
0.705,0,0.0119,0.5,Dark Trap
0.652,1,0.00881,0.447,Dark Trap
0.7,1,0.164,0.728,Dark Trap
0.724,0,0.215,0.6,Dark Trap
0.739,1,0.184,0.156,Dark Trap
0.644,1,0.68,0.423,Dark Trap
0.729,0,0.0573,0.439,Dark Trap
0.542,1,0.0966,0.509,Dark Trap
0.609,1,0.000194,0.414,Dark Trap
0.589,0,0.177,0.77,Dark Trap
0.636,1,0.0672,0.172,Dark Trap
0.52,0,0.0636,0.247,Dark Trap
0.864,1,0.00908,0.285,Dark Trap
0.694,0,0.0502,0.171,Dark Trap
0.536,0,0.00158,0.402,Dark Trap
0.883,1,0.0138,0.168,Dark Trap
0.833,0,0.00907,0.04,Dark Trap
0.674,1,0.00153,0.0968,Dark Trap
0.611,1,0.18,0.326,Dark Trap
0.495,1,0.00705,0.295,Dark Trap
0.396,0,0.616,0.0386,Dark Trap
0.457,1,0.0457,0.122,Dark Trap
0.751,1,0.0355,0.222,Dark Trap
0.685,1,0.0805,0.71,Dark Trap
0.606,0,0.693,0.058,Dark Trap
0.676,1,0.00122,0.0373,Dark Trap
