"","sex","age","student","employed","sleep","courses","studying","gpa","attend","cigarett","coffee","soda","tv","alcohol","dogs","cats","parents","sexual","condoms","accident","speed","physical","intellig","money","car","stress","relaxed","worry","notblue","disturbe","upset","mood","swings","irritate","blue","intell.","money.","car.","stress.","relax.","worry.","notblue.","disturb.","upset.","mood.","swings.","irritat.","blue.","attend.","condom.","speed.","neur","drink"
"15","Female",19,"Full-time","Part-time   ",8,5,17,3.5,"Always   ",0,5,1,7,1,1,0,"Yes","Yes","Often    ",0,"Rarely   ",2,"Agree            ","Disagree         ","Disagree         ","Strongly Agree   ","Strongly Disagree","Strongly Agree   ","Disagree         ","Agree            ","Agree            ","Disagree         ","Disagree         ","Agree            ","Disagree         ","Often","Disagree","Disagree","Always","Always","Always","Often","Often","Often","Disagree","Disagree","Often","Disagree","Always","Often","Rarely",37,"Yes"
"16","Female",23,"Full-time","Not employed",9,5,27,4,"Always   ",0,0,1,14,0,0,0,"No ","No ","         ",1,"Rarely   ",3,"Agree            ","Agree            ","Agree            ","Strongly Agree   ","Strongly Disagree","Strongly Agree   ","Strongly Disagree","Agree            ","Agree            ","Strongly Disagree","Strongly Disagree","Agree            ","Agree            ","Often","Often","Often","Always","Always","Always","Always","Often","Often","Strongly Disagree","Strongly Disagree","Often","Often","Always",NA,"Rarely",38,"No"
"17","Female",18,"Full-time","Part-time   ",8,6,8,3,"Often    ",0,0,0,9,0,0,1,"Yes","Yes","Always   ",0,"Sometimes",5,"Neutral          ","Neutral          ","Disagree         ","Agree            ","Agree            ","Agree            ","Agree            ","Disagree         ","Neutral          ","Neutral          ","Neutral          ","Neutral          ","Disagree         ","Neutral","Neutral","Disagree","Often","Disagree","Often","Disagree","Disagree","Neutral","Neutral","Neutral","Neutral","Disagree","Often","Always","Sometims",28,"No"
"18","Female",43,"Full-time","Not employed",5,2,27.5,3,"Always   ",0,7,0,2,2,1,0,"No ","Yes","Never    ",2,"Rarely   ",3,"Neutral          ","Strongly Disagree","Agree            ","Disagree         ","Neutral          ","Neutral          ","Agree            ","Neutral          ","Neutral          ","Disagree         ","Disagree         ","Disagree         ","Disagree         ","Neutral","Strongly Disagree","Often","Disagree","Neutral","Neutral","Disagree","Neutral","Neutral","Disagree","Disagree","Disagree","Disagree","Always","Never","Rarely",24,"Yes"
"19","Female",30,"Full-time","Not employed",2.5,5,28.5,3.8,"Always   ",0,0,10,16,0,1,0,"No ","Yes","Never    ",1,"Often    ",0,"Disagree         ","Disagree         ","Disagree         ","Strongly Agree   ","Strongly Disagree","Strongly Agree   ","Disagree         ","Strongly Agree   ","Agree            ","Agree            ","Agree            ","Strongly Agree   ","Agree            ","Disagree","Disagree","Disagree","Always","Always","Always","Often","Always","Often","Often","Often","Always","Often","Always","Never","Often",45,"No"
"20","Female",20,"Full-time","Part-time   ",8,4,8,3,"Often    ",0,0,3,15,20,0,0,"No ","Yes","Rarely   ",0,"Sometimes",2,"Neutral          ","Strongly Disagree","Strongly Disagree","Disagree         ","Strongly Agree   ","Agree            ","Agree            ","Neutral          ","Disagree         ","Agree            ","Neutral          ","Agree            ","Disagree         ","Neutral","Strongly Disagree","Strongly Disagree","Disagree","Strongly Disagree","Often","Disagree","Neutral","Disagree","Often","Neutral","Often","Disagree","Often","Rarely","Sometims",27,"Yes"
"21","Female",21,"Full-time","Part-time   ",8,4,2,2.5,"Always   ",0,2,10,0,0,1,0,"No ","Yes","Never    ",2,"Rarely   ",9,"Agree            ","Neutral          ","Neutral          ","Agree            ","Disagree         ","Agree            ","Strongly Disagree","Strongly Disagree","Agree            ","Neutral          ","Neutral          ","Neutral          ","Strongly Disagree","Often","Neutral","Neutral","Often","Often","Often","Always","Strongly Disagree","Often","Neutral","Neutral","Neutral","Strongly Disagree","Always","Never","Rarely",32,"No"
"22","Female",21,"Full-time","Not employed",10,4,3,2,"Always   ",1,0,20,28,5,1,0,"Yes","Yes","Often    ",0,"Always   ",2,"Strongly Agree   ","Strongly Agree   ","Strongly Agree   ","Agree            ","Strongly Agree   ","Agree            ","Agree            ","Strongly Disagree","Strongly Disagree","Strongly Agree   ","Neutral          ","Neutral          ","Disagree         ","Always","Always","Always","Often","Strongly Disagree","Often","Disagree","Strongly Disagree","Strongly Disagree","Always","Neutral","Neutral","Disagree","Always","Often","Always",26,"Yes"
"23","Female",19,"Full-time","Part-time   ",7,4,11,3.5,"Always   ",0,8,3,12,2,1,0,"No ","No ","         ",2,"Often    ",2,"Agree            ","Agree            ","Disagree         ","Agree            ","Neutral          ","Agree            ","Neutral          ","Disagree         ","Disagree         ","Disagree         ","Disagree         ","Neutral          ","Disagree         ","Often","Often","Disagree","Often","Neutral","Often","Neutral","Disagree","Disagree","Disagree","Disagree","Neutral","Disagree","Always",NA,"Often",27,"Yes"
"24","Female",22,"Full-time","Part-time   ",7,5,7,3.7,"Often    ",0,1,0,3,1,0,0,"Yes","Yes","Sometimes",1,"Sometimes",5.5,"Agree            ","Disagree         ","Agree            ","Neutral          ","Agree            ","Neutral          ","Agree            ","Disagree         ","Disagree         ","Neutral          ","Disagree         ","Disagree         ","Strongly Disagree","Often","Disagree","Often","Neutral","Disagree","Neutral","Disagree","Disagree","Disagree","Neutral","Disagree","Disagree","Strongly Disagree","Often","Sometims","Sometims",22,"Yes"
"25","Female",19,"Full-time","Not employed",5,4,3,3,"Always   ",0,0,6,20,0,0,0,"Yes","No ","         ",0,"Sometimes",1,"Agree            ","Disagree         ","Disagree         ","Agree            ","Disagree         ","Agree            ","Disagree         ","Neutral          ","Disagree         ","Agree            ","Neutral          ","Neutral          ","Agree            ","Often","Disagree","Disagree","Often","Often","Often","Often","Neutral","Disagree","Often","Neutral","Neutral","Often","Always",NA,"Sometims",35,"No"
"26","Female",18,"Full-time","Not employed",8,5,3,3.5,"Often    ",0,0,8,2,0,2,0,"Yes","No ","         ",1,"Rarely   ",2.5,"Strongly Agree   ","Neutral          ","Disagree         ","Agree            ","Disagree         ","Strongly Agree   ","Strongly Disagree","Agree            ","Agree            ","Strongly Agree   ","Strongly Agree   ","Neutral          ","Strongly Agree   ","Always","Neutral","Disagree","Often","Often","Always","Always","Often","Often","Always","Always","Neutral","Always","Often",NA,"Rarely",44,"No"
"27","Female",22,"Full-time","Part-time   ",6,2,7,2.5,"Often    ",0,8,12,10,0,0,1,"Yes","Yes","Always   ",1,"Rarely   ",3,"Neutral          ","Strongly Agree   ","Strongly Agree   ","Strongly Agree   ","Disagree         ","Agree            ","Neutral          ","Agree            ","Strongly Agree   ","Agree            ","Agree            ","Strongly Agree   ","Neutral          ","Neutral","Always","Always","Always","Often","Often","Neutral","Often","Always","Often","Often","Always","Neutral","Often","Always","Rarely",41,"No"
"28","Female",22,"Full-time","Part-time   ",8,4,8,3,"Always   ",0,0,2,0.5,0,0,0,"Yes","No ","         ",0,"Sometimes",2.5,"Neutral          ","Neutral          ","Neutral          ","Neutral          ","Neutral          ","Disagree         ","Strongly Agree   ","Disagree         ","Disagree         ","Disagree         ","Disagree         ","Disagree         ","Disagree         ","Neutral","Neutral","Neutral","Neutral","Neutral","Disagree","Strongly Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Always",NA,"Sometims",21,"No"
"29","Female",18,"Full-time","Not employed",7,6,20,2.5,"Always   ",0,0,0,20,0,0,0,"No ","Yes","Rarely   ",0,"Often    ",0,"Neutral          ","Agree            ","Disagree         ","Agree            ","Disagree         ","Strongly Agree   ","Neutral          ","Disagree         ","Disagree         ","Disagree         ","Disagree         ","Disagree         ","Neutral          ","Neutral","Often","Disagree","Often","Often","Always","Neutral","Disagree","Disagree","Disagree","Disagree","Disagree","Neutral","Always","Rarely","Often",29,"No"
"30","Female",20,"Full-time","Full-time   ",8,5,3,2.33,"Often    ",0,8,8,15,3,1,0,"Yes","Yes","Never    ",2,"Sometimes",14,"Agree            ","Disagree         ","Neutral          ","Disagree         ","Agree            ","Agree            ","Agree            ","Disagree         ","Agree            ","Strongly Disagree","Disagree         ","Disagree         ","Disagree         ","Often","Disagree","Neutral","Disagree","Disagree","Often","Disagree","Disagree","Often","Strongly Disagree","Disagree","Disagree","Disagree","Often","Never","Sometims",23,"Yes"
"31","Female",26,"Full-time","Full-time   ",11,5,6,2.5,"Always   ",0,0,4,3,0,1,0,"No ","Yes","Never    ",2,"Often    ",2,"Neutral          ","Disagree         ","Agree            ","Agree            ","Disagree         ","Strongly Agree   ","Disagree         ","Neutral          ","Neutral          ","Neutral          ","Disagree         ","Agree            ","Neutral          ","Neutral","Disagree","Often","Often","Often","Always","Often","Neutral","Neutral","Neutral","Disagree","Often","Neutral","Always","Never","Often",35,"No"
"32","Female",18,"Full-time","Part-time   ",6,4,10,3,"Always   ",0,3,10,14,0,1,0,"Yes","No ","         ",1,"Sometimes",15,"Agree            ","Disagree         ","Neutral          ","Disagree         ","Neutral          ","Neutral          ","Agree            ","Disagree         ","Disagree         ","Disagree         ","Disagree         ","Disagree         ","Disagree         ","Often","Disagree","Neutral","Disagree","Neutral","Neutral","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Always",NA,"Sometims",22,"No"
"33","Female",20,"Full-time","Part-time   ",11,4,6,3.5,"Always   ",0,0,8,10,0,1,0,"No ","Yes","Rarely   ",2,"Sometimes",2,"Agree            ","Disagree         ","Agree            ","Agree            ","Disagree         ","Agree            ","Agree            ","Agree            ","Agree            ","Agree            ","Neutral          ","Agree            ","Agree            ","Often","Disagree","Often","Often","Often","Often","Disagree","Often","Often","Often","Neutral","Often","Often","Always","Rarely","Sometims",37,"No"
"34","Female",19,"Full-time","Not employed",8,4,4,3.5,"Sometimes",0,0,1,4,3,0,0,"No ","Yes","Always   ",1,"Often    ",10,"Agree            ","Disagree         ","Disagree         ","Disagree         ","Agree            ","Disagree         ","Agree            ","Disagree         ","Disagree         ","Disagree         ","Disagree         ","Agree            ","Disagree         ","Often","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Often","Disagree","Sometims","Always","Often",22,"Yes"
"35","Female",18,"Full-time","Not employed",6,4,2,2.5,"Often    ",0,1,3,3,4,0,1,"No ","Yes","Always   ",0,"Often    ",3,"Agree            ","Neutral          ","Disagree         ","Neutral          ","Neutral          ","Agree            ","Disagree         ","Agree            ","Agree            ","Neutral          ","Neutral          ","Neutral          ","Disagree         ","Often","Neutral","Disagree","Neutral","Neutral","Often","Often","Often","Often","Neutral","Neutral","Neutral","Disagree","Often","Always","Often",33,"Yes"
"36","Female",20,"Full-time","Full-time   ",5,4,2,3.1,"Often    ",0,0,0,6,6,1,0,"No ","Yes","Always   ",0,"Often    ",0,"Agree            ","Agree            ","Strongly Agree   ","Neutral          ","Neutral          ","Neutral          ","Agree            ","Neutral          ","Neutral          ","Agree            ","Agree            ","Agree            ","Disagree         ","Often","Often","Always","Neutral","Neutral","Neutral","Disagree","Neutral","Neutral","Often","Often","Often","Disagree","Often","Always","Often",31,"Yes"
"37","Female",19,"Full-time","Part-time   ",4,5,5,3.5,"Often    ",0,0,3,3,0,0,0,"No ","Yes","Never    ",0,"Often    ",0,"Neutral          ","Disagree         ","Agree            ","Agree            ","Disagree         ","Agree            ","Neutral          ","Disagree         ","Agree            ","Disagree         ","Disagree         ","Agree            ","Neutral          ","Neutral","Disagree","Often","Often","Often","Often","Neutral","Disagree","Often","Disagree","Disagree","Often","Neutral","Often","Never","Often",32,"No"
"38","Female",19,"Full-time","Part-time   ",6,5,5,3,"Always   ",0,0,0,1,0,1,0,"No ","Yes","Always   ",0,"Sometimes",7,"Neutral          ","Neutral          ","Neutral          ","Agree            ","Disagree         ","Agree            ","Neutral          ","Agree            ","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Disagree         ","Neutral","Neutral","Neutral","Often","Often","Often","Neutral","Often","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Disagree","Always","Always","Sometims",25,"No"
"39","Female",20,"Full-time","Not employed",7,5,5.5,2.75,"Sometimes",15,2,10,15,0.5,0,0,"No ","Yes","Rarely   ",3,"Rarely   ",3.5,"Neutral          ","Neutral          ","Strongly Agree   ","Disagree         ","Neutral          ","Strongly Agree   ","Agree            ","Agree            ","Disagree         ","Neutral          ","Neutral          ","Disagree         ","Strongly Agree   ","Neutral","Neutral","Always","Disagree","Neutral","Always","Disagree","Often","Disagree","Neutral","Neutral","Disagree","Always","Sometims","Rarely","Rarely",31,"Yes"
"40","Female",20,"Full-time","Not employed",7,5,5.5,2.75,"Sometimes",15,2,14,3.5,0.5,0,0,"No ","Yes","Rarely   ",3,"Rarely   ",4.5,"Neutral          ","Neutral          ","Agree            ","Agree            ","Neutral          ","Strongly Agree   ","Strongly Agree   ","Agree            ","Neutral          ","Strongly Agree   ","Strongly Agree   ","Agree            ","Strongly Agree   ","Neutral","Neutral","Often","Often","Neutral","Always","Strongly Disagree","Often","Neutral","Always","Always","Often","Always","Sometims","Rarely","Rarely",39,"Yes"
"41","Female",21,"Full-time","Part-time   ",10,4,4,3.5,"Always   ",0,0,5,3,1.5,1,0,"Yes","Yes","Always   ",0,"Rarely   ",2,"Agree            ","Agree            ","Agree            ","Agree            ","Agree            ","Agree            ","Agree            ","Neutral          ","Neutral          ","Neutral          ","Neutral          ","Neutral          ","Disagree         ","Often","Often","Often","Often","Disagree","Often","Disagree","Neutral","Neutral","Neutral","Neutral","Neutral","Disagree","Always","Always","Rarely",29,"Yes"
"42","Female",21,"Full-time","Part-time   ",6.5,2,20,3.5,"Always   ",0,0,4,6,6,1,0,"Yes","No ","         ",2,"Often    ",15,"Agree            ","Disagree         ","Strongly Disagree","Strongly Agree   ","Disagree         ","Strongly Agree   ","Agree            ","Strongly Agree   ","Agree            ","Agree            ","Agree            ","Strongly Agree   ","Disagree         ","Often","Disagree","Strongly Disagree","Always","Often","Always","Disagree","Always","Often","Often","Often","Always","Disagree","Always",NA,"Often",40,"Yes"
"43","Female",21,"Full-time","Full-time   ",8.5,2,10,3,"Often    ",0,0,5,15,1,0,0,"No ","Yes","Often    ",2,"Sometimes",10,"Agree            ","Disagree         ","Agree            ","Agree            ","Disagree         ","Strongly Agree   ","Neutral          ","Disagree         ","Neutral          ","Agree            ","Neutral          ","Agree            ","Neutral          ","Often","Disagree","Often","Often","Often","Always","Neutral","Disagree","Neutral","Often","Neutral","Often","Neutral","Often","Often","Sometims",35,"Yes"
"44","Female",23,"Full-time","Full-time   ",6,2,10,3,"Always   ",6,2,2,2,4,0,1,"Yes","   ","Sometimes",2,"Often    ",5,"Agree            ","Neutral          ","Agree            ","Neutral          ","Neutral          ","Agree            ","Disagree         ","Agree            ","Disagree         ","Agree            ","Agree            ","Agree            ","Agree            ","Often","Neutral","Often","Neutral","Neutral","Often","Often","Often","Disagree","Often","Often","Often","Often","Always","Sometims","Often",36,"Yes"
"45","Female",21,"Full-time","Full-time   ",8,2,12,3,"Often    ",0,0,5,15,1,0,0,"No ","Yes","Often    ",2,"Sometimes",10,"Agree            ","Disagree         ","Agree            ","Agree            ","Disagree         ","Strongly Agree   ","Neutral          ","Disagree         ","Neutral          ","Agree            ","Neutral          ","Disagree         ","Disagree         ","Often","Disagree","Often","Often","Often","Always","Neutral","Disagree","Neutral","Often","Neutral","Disagree","Disagree","Often","Often","Sometims",32,"Yes"
"46","Female",19,"Full-time","Full-time   ",7,2,10,2.5,"Always   ",0,0,14,20,0,0,0,"No ","No ","         ",1,"Sometimes",5,"Strongly Agree   ","Strongly Agree   ","Strongly Agree   ","Neutral          ","Neutral          ","Agree            ","Neutral          ","Neutral          ","Disagree         ","Disagree         ","Disagree         ","Neutral          ","Neutral          ","Always","Always","Always","Neutral","Neutral","Often","Neutral","Neutral","Disagree","Disagree","Disagree","Neutral","Neutral","Always",NA,"Sometims",28,"No"
"47","Female",38,"Part-time","Full-time   ",9,3,4,2.8,"Always   ",0,0,25,20,1,0,0,"No ","Yes","Never    ",2,"Sometimes",4,"Agree            ","Neutral          ","Agree            ","Disagree         ","Agree            ","Agree            ","Strongly Agree   ","Disagree         ","Disagree         ","Disagree         ","Disagree         ","Disagree         ","Strongly Disagree","Often","Neutral","Often","Disagree","Disagree","Often","Strongly Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Strongly Disagree","Always","Never","Sometims",20,"Yes"
"48","Female",34,"Part-time","Not employed",5,1,30,NA,"Always   ",40,20,2,4,0,2,3,"No ","Yes","Never    ",1,"Rarely   ",0,"Neutral          ","Disagree         ","Agree            ","Neutral          ","Disagree         ","Agree            ","Strongly Disagree","Strongly Disagree","Disagree         ","Disagree         ","Disagree         ","Disagree         ","Strongly Agree   ","Neutral","Disagree","Often","Neutral","Often","Often","Always","Strongly Disagree","Disagree","Disagree","Disagree","Disagree","Always","Always","Never","Rarely",30,"No"
"49","Female",22,"Full-time","Not employed",7,5,25,4,"Always   ",0,2,9,14,3,5,0,"Yes","Yes","Sometimes",1,"Often    ",6.5,"Strongly Agree   ","Disagree         ","Agree            ","Agree            ","Strongly Agree   ","Agree            ","Neutral          ","Disagree         ","Disagree         ","Agree            ","Disagree         ","Agree            ","Disagree         ","Always","Disagree","Often","Often","Strongly Disagree","Often","Neutral","Disagree","Disagree","Often","Disagree","Often","Disagree","Always","Sometims","Often",28,"Yes"
"50","Female",24,"Full-time","Part-time   ",5,3,10,3,"Always   ",0,0,0,1,3,1,0,"Yes","No ","Always   ",2,"Sometimes",15,"Agree            ","Disagree         ","Agree            ","Disagree         ","Agree            ","Agree            ","                 ","                 ","Neutral          ","Disagree         ","Neutral          ","Disagree         ","Disagree         ","Often","Disagree","Often","Disagree","Disagree","Often",NA,NA,"Neutral","Disagree","Neutral","Disagree","Disagree","Always","Always","Sometims",20,"Yes"
"51","Female",24,"Full-time","Part-time   ",5,3,10,3,"Always   ",0,0,0,0,3,1,0,"Yes","No ","Always   ",2,"Sometimes",15,"Agree            ","Disagree         ","Agree            ","Disagree         ","Agree            ","Agree            ","Agree            ","Disagree         ","Disagree         ","Neutral          ","Disagree         ","Disagree         ","Strongly Disagree","Often","Disagree","Often","Disagree","Disagree","Often","Disagree","Disagree","Disagree","Neutral","Disagree","Disagree","Strongly Disagree","Always","Always","Sometims",22,"Yes"
"52","Female",31,"Part-time","Full-time   ",6,1,4,3,"Often    ",0,6,1,4,2,2,2,"No ","Yes","Never    ",1,"Sometimes",5,"Agree            ","Agree            ","Agree            ","Disagree         ","Disagree         ","Agree            ","Disagree         ","Disagree         ","Disagree         ","Agree            ","Agree            ","Agree            ","Agree            ","Often","Often","Often","Disagree","Often","Often","Often","Disagree","Disagree","Often","Often","Often","Often","Often","Never","Sometims",34,"Yes"
"53","Female",18,"Full-time","Not employed",6,2,6,3,"Often    ",15,0,3,4,1,1,4,"No ","Yes","Never    ",1,"Rarely   ",2,"Agree            ","Agree            ","Agree            ","Agree            ","Neutral          ","Agree            ","Neutral          ","Neutral          ","Neutral          ","Neutral          ","Neutral          ","Neutral          ","Neutral          ","Often","Often","Often","Often","Neutral","Often","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Often","Never","Rarely",32,"Yes"
"54","Female",35,"Full-time","Full-time   ",6,2,35,3,"Often    ",30,1,25,8,0,1,0,"No ","Yes","Never    ",4,"Sometimes",1,"Agree            ","Neutral          ","Strongly Agree   ","Agree            ","Neutral          ","Agree            ","Disagree         ","Neutral          ","Disagree         ","Neutral          ","Disagree         ","Disagree         ","Disagree         ","Often","Neutral","Always","Often","Neutral","Often","Often","Neutral","Disagree","Neutral","Disagree","Disagree","Disagree","Often","Never","Sometims",29,"No"
"55","Female",26,"Full-time","Part-time   ",8,2,20,3.5,"Often    ",0,0,3,5,0,3,0,"No ","Yes","Never    ",0,"Often    ",1,"Strongly Agree   ","Disagree         ","Strongly Agree   ","Strongly Disagree","Agree            ","Neutral          ","Agree            ","Disagree         ","Disagree         ","Disagree         ","Disagree         ","Disagree         ","Disagree         ","Always","Disagree","Always","Strongly Disagree","Disagree","Neutral","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Often","Never","Often",20,"No"
"56","Female",21,"Full-time","Not employed",8.5,2,20,3.5,"Always   ",0,2,7,20,0,0,0,"No ","No ","         ",0,"Sometimes",15,"Agree            ","Neutral          ","Agree            ","Neutral          ","Neutral          ","Agree            ","Agree            ","Neutral          ","Neutral          ","Disagree         ","Disagree         ","Neutral          ","Disagree         ","Often","Neutral","Often","Neutral","Neutral","Often","Disagree","Neutral","Neutral","Disagree","Disagree","Neutral","Disagree","Always",NA,"Sometims",27,"No"
